date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:14:38	395/395	---M-Z	200	added ('OK')	text/plain	etag:%22344-5cb3a033eed44-gzip%22	https://ageroute.ci/robots.txt		(from )
09:14:39	83225/83225	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Feb%202022%2009:14:39%20GMT	https://ageroute.ci/	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/index.html	(from )
09:14:39	15086/15086	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%223aee-5cb3a03541b19%22	https://ageroute.ci/templates/ageroute/favicon.ico	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/templates/ageroute/favicon.ico	(from https://ageroute.ci/)
09:14:39	1354/1354	---M-Z	200	added ('OK')	application/rss+xml	date:Mon,%2007%20Feb%202022%2009:14:40%20GMT	https://ageroute.ci/?format=feed&type=rss	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/indexc0d0.html	(from https://ageroute.ci/)
09:14:39	9502/9502	---M-Z	200	added ('OK')	text/css	etag:%22251e-5cb3a0324ae93-gzip%22	https://ageroute.ci/media/cck/css/cck.css	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/media/cck/css/cck.css	(from https://ageroute.ci/)
09:14:40	5345/5345	---M-Z	200	added ('OK')	text/css	etag:%2214e1-5cb3a0324ae93-gzip%22	https://ageroute.ci/media/cck/css/cck.intro.css	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/media/cck/css/cck.intro.css	(from https://ageroute.ci/)
09:14:40	9432/9432	---M-Z	200	added ('OK')	text/css	etag:%2224d8-5cb3a0337c928-gzip%22	https://ageroute.ci/modules/mod_highlighter_gk5/interface/css/style.css	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/modules/mod_highlighter_gk5/interface/css/style.css	(from https://ageroute.ci/)
09:14:40	1591/1591	---MC-	200	added ('OK')	application/atom+xml	date:Mon,%2007%20Feb%202022%2009:14:40%20GMT	https://ageroute.ci/?format=feed&type=atom	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/index7b17.html	(from https://ageroute.ci/)
09:14:40	11455/11455	---M-Z	200	added ('OK')	text/css	etag:%222cbf-5cb3a0338a3e8-gzip%22	https://ageroute.ci/modules/mod_image_show_gk4/styles/gk_hotel_tabs/style.css	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/modules/mod_image_show_gk4/styles/gk_hotel_tabs/style.css	(from https://ageroute.ci/)
09:14:40	97646/97646	---M-Z	200	added ('OK')	application/javascript	etag:%2217d6e-5cb3a0335c589-gzip%22	https://ageroute.ci/media/jui/js/jquery.min.js?6a7c03bfc92decd27f0487f6f3335e46	C:/xampp/htdocs/SITE_INTERNET_INCI_2022/SITE_WEB_INCI/ageroute.ci/media/jui/js/jquery.minbfdb.js	(from https://ageroute.ci/)
